,video_id,category_1,category_2,rank,task_id
964577,AJXplKwF-bg,Food and Entertaining,Breakfast,72,88213
127666,AKmP6OuzHz8,Food and Entertaining,Drinks,16,53207
692583,ALXbiijMnqc,Food and Entertaining,Recipes,102,118432
1159937,aM2x5jg42Do,Food and Entertaining,Recipes,41,75591
785924,amY0HPzCJa8,Cars & Other Vehicles,Bicycles,115,113106
467211,ANA93BojE3I,Education and Communications,Writing,160,111
170328,AnzpsxpX-O8,Health,Alternative Health,4,42669
456302,aOS6b-ItFng,Home and Garden,Home Improvements and Repairs,8,35236
232003,AouVuLyImKo,Hobbies and Crafts,Crafts,107,89759
975928,aRgw4xzAWs8,Food and Entertaining,Drinks,161,26660
1203137,arQIGLRuZbM,Home and Garden,Housekeeping,87,77701
382029,At8y0Ql5dZY,Home and Garden,Home Improvements and Repairs,38,59695
490935,AU7pMdn4bXo,Hobbies and Crafts,Crafts,54,65553
614589,Au8SmJ1F97E,Food and Entertaining,Care and Use of Cooking Equipment,35,19807
634580,AV6azBJewLs,Home and Garden,Housekeeping,132,21749
649407,aV6ui0_PqZo,Food and Entertaining,Recipes,77,8496
728105,AVFeEK4q7n4,Arts and Entertainment,Music,171,83584
1111085,AvTUrbW7YGo,Hobbies and Crafts,Crafts,157,10137
447668,avWvsi0-Km4,Food and Entertaining,Recipes,6,102720
444415,aWiQIVEv-7M,Food and Entertaining,Recipes,47,12076
870569,AxseERyN46s,Food and Entertaining,Recipes,71,10892
197668,axyw1YMiO0I,Home and Garden,Landscaping and Outdoor Building,130,93202
883463,AY7ijImmdc4,Food and Entertaining,Recipes,68,71743
405493,ayrkAfNP0EQ,Home and Garden,Gardening,69,36559
179794,a_aCVGcN6dY,Hobbies and Crafts,Crafts,140,92807
292606,a_asWpBNwxo,Food and Entertaining,Recipes,21,75397
1187716,A_z36yqMxAM,Food and Entertaining,Herbs and Spices,107,30880
109678,b-341m5ri_A,Holidays and Traditions,Gift Giving,56,110237
453011,b-hUwuBkbp4,Hobbies and Crafts,Photography,78,81841
477908,B1GjTlE5xDI,Hobbies and Crafts,Tricks and Pranks,11,33390
533534,B2G72Xadcqw,Pets and Animals,Birds,141,46896
1204036,b2_m6Y80O4U,Food and Entertaining,Recipes,147,105523
731668,B35_ivqGg5Q,Home and Garden,Home Improvements and Repairs,25,72137
926180,B5ATEPy3gPQ,Holidays and Traditions,Halloween,6,38122
977810,b5bcjNSjlqY,Food and Entertaining,Nuts and Seeds,139,120747
865038,B5iBnqiwCzw,Hobbies and Crafts,Woodworking,11,32289
868321,B6fpKXTV81g,Education and Communications,Writing,173,139
669157,B8-QyKLl0SA,Home and Garden,Home Decorating,129,105682
457681,b98IUj2N5e0,Cars & Other Vehicles,Cars,107,95123
398405,b9MuSMtBSgw,Food and Entertaining,Recipes,27,50904
1168847,bAI0X_R6Qyo,Food and Entertaining,Parties,23,37796
624997,BAI_HRh5_4M,Home and Garden,Home Improvements and Repairs,111,90931
1090933,BbdgPaVk0aU,Food and Entertaining,Recipes,10,102663
865219,bBTryvqb860,Food and Entertaining,Recipes,40,16692
803643,BBzGOdpWBP4,Home and Garden,Home Improvements and Repairs,92,15392
188368,BC96rIxi640,Home and Garden,Home Improvements and Repairs,167,116479
1205664,BCQeSLKrFXk,Food and Entertaining,Drinks,20,103903
567360,bDrWBEmu2_g,Hobbies and Crafts,Woodworking,110,47275
282146,BG1S5BxQT0Y,Cars & Other Vehicles,Cars,97,95150
462850,BG4NlgMC5uI,Home and Garden,Home Improvements and Repairs,15,102472
144560,bGBm6BEfFzc,Hobbies and Crafts,Crafts,95,100283
87831,BIBgoRiu3nk,Holidays and Traditions,Halloween,120,59407
507998,biEH3lkILKc,Home and Garden,Home Improvements and Repairs,5,90949
197756,BiR-vuYYNZM,Food and Entertaining,Recipes,43,34091
30985,BJCpsi5FrhE,Education and Communications,Subjects,195,383
395564,Bjp6_M-yrrE,Hobbies and Crafts,Crafts,97,55309
1164329,BK_YPs1P5YI,Hobbies and Crafts,Painting,71,47926
1218277,blagRvyeX8Y,Hobbies and Crafts,Crafts,20,11022
706255,BlEZbiPLoXA,Hobbies and Crafts,Woodworking,9,80661
318665,bM0fLag_R8Q,Food and Entertaining,Recipes,19,120632
1201042,bm8Er6ZqLhY,Food and Entertaining,Recipes,69,57355
30905,Bmd3iAKA0Gw,Hobbies and Crafts,Crafts,1,37469
1197389,BmfQZSHdM08,Pets and Animals,Rabbits,13,84790
352510,Bn5pWxVpfmU,Hobbies and Crafts,Crafts,96,61273
464758,bnILTS7mcAA,Home and Garden,Gardening,92,36544
840870,bNJvsH6P9rE,Food and Entertaining,Drinks,74,79275
621527,bnymrJZQY40,Food and Entertaining,Recipes,142,82218
285631,bo5bkaywFqw,Cars & Other Vehicles,Cars,79,95170
712455,bO6Raui4wD4,Food and Entertaining,Recipes,19,41682
242088,bolUeFDKCt0,Food and Entertaining,Parties,1,98118
1019319,bP8-stQmUhc,Pets and Animals,Cats,99,101608
1101007,bPGF8EWrPwk,Home and Garden,Gardening,77,46563
55901,Bplw92OGbkU,Hobbies and Crafts,Crafts,13,63126
317340,bqd1vj59fss,Hobbies and Crafts,Crafts,170,39055
292727,bqNqCjPB6O8,Cars & Other Vehicles,Bicycles,30,29723
496636,bqYkoZpOOI4,Food and Entertaining,Recipes,23,114876
359312,br-_INPyP8M,Hobbies and Crafts,Crafts,189,67984
706502,brD5h1tvv4U,Food and Entertaining,Recipes,16,71755
271454,brdBv0nupTg,Hobbies and Crafts,Crafts,180,42388
306987,brZmg320Bb8,Hobbies and Crafts,Crafts,74,119819
128320,bS3W95yVMu4,Hobbies and Crafts,Crafts,112,58292
1090176,bTGQb6C_vZ8,Hobbies and Crafts,Sculpting,148,18771
1049465,BtoSeHA0Gn0,Food and Entertaining,Recipes,105,29482
1227084,BU9ooVuhnkk,Home and Garden,Housekeeping,153,75267
893641,BUB9haL2KgE,Food and Entertaining,Recipes,27,37724
586455,bUqvS5OVpJw,Food and Entertaining,Recipes,32,8362
777197,BV_8W6TbRdE,Food and Entertaining,Recipes,140,3998
810578,bWPHnJFbnuY,Food and Entertaining,Recipes,84,102725
884404,bXsdBxIkkCc,Food and Entertaining,Recipes,44,28065
696122,bY_nBb61TwY,Food and Entertaining,Recipes,94,1329
285070,bZCBYT0MSxs,Food and Entertaining,Recipes,18,6189
898207,b_s2Z9lV5j4,Food and Entertaining,Drinks,86,50303
479471,c1LI8yU3Vlw,Food and Entertaining,Recipes,60,38196
496528,c1_wBpt0InY,Pets and Animals,Small and Furry,33,62731
757008,c2v1zCj9vcA,Home and Garden,Gardening,146,64664
1119756,C3N3Uk0WSs0,Food and Entertaining,Care and Use of Cooking Equipment,139,19810
803747,c3Q_77p-p-8,Home and Garden,Home Decorating,162,5309
840933,c5a32mLSOwE,Food and Entertaining,Recipes,158,51023
594789,C5n3j1ABq2M,Home and Garden,Home Improvements and Repairs,2,56366
1144558,c675HLWkHeM,Food and Entertaining,Recipes,67,66899
48920,c8COt3zFriI,Food and Entertaining,Recipes,68,34093
612235,c8Hkst76-MA,Food and Entertaining,Recipes,108,68285
61406,c8KtbBUrDuM,Cars & Other Vehicles,Bicycles,143,29732
431834,c9TwoSM7Sgw,Hobbies and Crafts,Crafts,156,19043
218814,ca2diRsHIhw,Food and Entertaining,Parties,14,59778
1102190,cAIRzNaQXFc,Food and Entertaining,Breakfast,129,64932
387368,CARDc_IaDcY,Food and Entertaining,Recipes,83,30234
242238,cbgX5W6SrHk,Food and Entertaining,Recipes,9,34157
113568,cBlnBKHLnLE,Hobbies and Crafts,Crafts,42,122838
837239,cbVAHN2hX9M,Home and Garden,Home Decorating,147,23685
475092,cceoHlBwHf0,Food and Entertaining,Recipes,78,57806
1056854,cDtNLzEfqT8,Food and Entertaining,Recipes,35,20106
315102,CeB5eOy7BwA,Hobbies and Crafts,Crafts,3,36431
986716,Cecpsz9sX40,Food and Entertaining,Parties,8,98114
818853,cfLIXv-J_50,Food and Entertaining,Food Preparation,119,16316
414032,CG-ohgm3wcg,Food and Entertaining,Recipes,11,107372
1199212,cHUYpigP9YY,Cars & Other Vehicles,Cars,85,84327
649783,CI5HJ7wkwv4,Home and Garden,Housekeeping,11,23635
1029707,CIVxUCn8rso,Home and Garden,Home Improvements and Repairs,157,17562
674115,CJKa_BR-qwM,Food and Entertaining,Parties,126,59761
989411,CJu2A9Xsctk,Hobbies and Crafts,Sculpting,160,60812
255540,CKngg5RDLDk,Personal Care and Style,Grooming,14,89316
643413,CLLWPsR3fyY,Home and Garden,Gardening,58,47573
486908,CLp7UMQmAEQ,Food and Entertaining,Recipes,50,86625
453900,cLSTJRUUm9E,Food and Entertaining,Recipes,62,120193
419882,cM8BVP-yjNg,Hobbies and Crafts,Crafts,46,19945
1042864,cmInKZ0Qs_U,Food and Entertaining,Recipes,137,102717
61183,cmKxl1Vd9B4,Food and Entertaining,Nuts and Seeds,182,120734
177968,CMvJzr2gmco,Education and Communications,Subjects,23,304
359891,CNQP0f0Nv94,Food and Entertaining,Recipes,8,38184
798856,cOc5vb3bKGY,Hobbies and Crafts,Woodworking,23,47209
614121,Cof8WQfM7Qk,Cars & Other Vehicles,Cars,116,97198
1178928,cpg4Qjkh_c4,Home and Garden,Housekeeping,64,73377
6406,CpjrvXEL3Vw,Food and Entertaining,Recipes,56,97645
442805,cpKmOxLOVUs,Hobbies and Crafts,Crafts,8,7849
865178,cQOIoIdXARc,Food and Entertaining,Recipes,3,96826
170250,crb-7DBbHFY,Health,Alternative Health,27,42669
891218,CrjNwAPVKso,Food and Entertaining,Recipes,102,1761
62428,cRMNrgETJro,Food and Entertaining,Drinks,38,32761
1155089,CRs6DmeJPyg,Food and Entertaining,Recipes,127,5878
757267,CrTyrnfVRAM,Hobbies and Crafts,Woodworking,24,81325
322454,CrxRuGO-AFM,Cars & Other Vehicles,Cars,58,85442
963237,csac4AQLKnM,Pets and Animals,Cats,143,3558
811820,csjdWenvEOI,Home and Garden,Housekeeping,105,43875
133895,CSMf5aaicxM,Hobbies and Crafts,Crafts,134,2873
88799,CSN5tAnYxTY,Food and Entertaining,Recipes,52,71767
210265,cSQfZ9Xjw9M,Hobbies and Crafts,Crafts,152,90418
539159,ct9_mlArOUo,Home and Garden,Gardening,40,41044
1124002,CTGntvWH4t0,Home and Garden,Gardening,101,47572
335048,cu1GPuvQl-s,Food and Entertaining,Recipes,70,43171
632450,CU2SU-LdUv4,Home and Garden,Tools,143,77466
2212,CuY5n0euDo0,Education and Communications,Subjects,142,329
1181332,cVB1_99Rd4E,Food and Entertaining,Drinks,158,32686
263222,CVuDCcX6GcQ,Food and Entertaining,Recipes,7,96366
282873,cWezDH5jpHg,Hobbies and Crafts,Crafts,148,105580
664944,CwSVDrAOgiU,Food and Entertaining,Recipes,17,73757
419284,CX-FW5Tw_08,Cars & Other Vehicles,Cars,171,98501
835450,cy9VmtaOM-c,Food and Entertaining,Recipes,164,122819
112734,Cz2Kwz6JwPk,Hobbies and Crafts,Crafts,19,25139
662885,CZsvNfkWAlI,Home and Garden,Home Improvements and Repairs,39,93003
886879,c_eyrJTwpcQ,Home and Garden,Gardening,21,40993
229633,D-j6iX4wFl8,Food and Entertaining,Care and Use of Cooking Equipment,4,19816
907902,D0kM1JAhru0,Home and Garden,Home Improvements and Repairs,86,55150
384924,D1svF3Pmolc,Cars & Other Vehicles,Cars,63,55200
1046132,D1Tku1czni4,Food and Entertaining,Food Preparation,31,91785
632823,D2Ld_O45xGs,Home and Garden,Gardening,118,47202
536441,d3FKOVoXGnw,Food and Entertaining,Food Preparation,8,6182
26089,d3PV2yxxVEU,Hobbies and Crafts,Tricks and Pranks,111,60871
566417,d4YECMv_jCs,Food and Entertaining,Food Preparation,2,94909
15767,D6-1EJuJj_E,Home and Garden,Tools,55,113055
973672,d73adiofSEo,Food and Entertaining,Recipes,160,57407
481983,d9VqperRBhc,Hobbies and Crafts,Crafts,31,46874
193898,dA05LOfPblY,Health,Health Hygiene,91,118295
923133,dA6NW_s6XKc,Home and Garden,Gardening,18,46543
79035,DAaE25gUNUM,Personal Care and Style,Grooming,139,89274
1107736,dalSusKd5xc,Home and Garden,Home Decorating,125,68952
694269,daMi8AdSRY0,Food and Entertaining,Recipes,2,95629
1098323,dbCfyN5qUXs,Food and Entertaining,Recipes,102,120646
22030,DCksORh-nXg,Hobbies and Crafts,Crafts,70,19002
230791,dClbb-8vIQw,Food and Entertaining,Recipes,49,9137
715489,dHr1HNP7hmA,Hobbies and Crafts,Woodworking,53,57716
1220911,DIGWEDOJXe4,Home and Garden,Gardening,17,76563
978094,ditu432Sf-E,Education and Communications,Writing,7,126
602619,DJ5mLBP1E0U,Home and Garden,Home Improvements and Repairs,100,83928
675777,DkAu4w4J33M,Food and Entertaining,Recipes,27,122786
1212811,DKpi4t5JkXU,Food and Entertaining,Recipes,91,2954
517650,dkW3yNjzMmQ,Home and Garden,Disaster Preparedness,91,101697
875731,DLcFtG5xV14,Home and Garden,Gardening,61,122004
813662,dllcTbNZPH0,Food and Entertaining,Recipes,162,99801
1232647,DLouptoDmu4,Food and Entertaining,Recipes,18,56659
622952,dMGktxHSTPk,Cars & Other Vehicles,Cars,120,108622
409916,DNhfR3bcmUA,Cars & Other Vehicles,Cars,62,11159
1105558,dObqZ_trrHs,Food and Entertaining,Recipes,60,109762
1149211,DoDyJ39W7W4,Pets and Animals,Horses,21,31420
12738,DOi8ygkBBeo,Food and Entertaining,Recipes,46,15553
1040380,doIE_PnJE40,Home and Garden,Gardening,154,13721
144127,DoUYnGrhxi8,Food and Entertaining,Drinks,180,25926
966137,dpb4kBOzlB8,Home and Garden,Gardening,148,90050
661099,dpRywUkR6Pg,Home and Garden,Home Improvements and Repairs,102,35241
294776,DPt8bdy1TTM,Food and Entertaining,Recipes,196,15277
604976,DQ5SBS9kXJE,Food and Entertaining,Recipes,121,122790
75898,dqrQD8GmX1o,Hobbies and Crafts,Crafts,58,29082
1100541,drNaWNs7piM,Home and Garden,Home Improvements and Repairs,114,35228
69320,drRR9y7oeqM,Hobbies and Crafts,Crafts,171,9109
1115362,DrT_l7NkVf0,Food and Entertaining,Recipes,49,16649
63732,dRWOf4Cpg1k,Food and Entertaining,Recipes,6,81785
132913,DsYzsRLwB5U,Cars & Other Vehicles,Bicycles,51,121064
166702,dsZ5WwR5NHU,Food and Entertaining,Recipes,83,15308
752191,Dt5UZf8bNo0,Home and Garden,Home Improvements and Repairs,133,120883
335224,dTfr-oWxMIs,Home and Garden,Housekeeping,133,64286
752790,DtgL7CfEetY,Food and Entertaining,Recipes,4,16119
330600,Du9VmihfU4A,Home and Garden,Housekeeping,72,101686
617604,dUaLXH9tDUE,Home and Garden,Home Improvements and Repairs,77,21727
236698,Dw4rWU9W7-I,Hobbies and Crafts,Crafts,92,119458
499824,dWr1yUxKa0w,Home and Garden,Gardening,102,24208
950755,dWRDOdlY7X8,Home and Garden,Home Improvements and Repairs,129,106991
493543,dWx3IEyMDWA,Home and Garden,Home Improvements and Repairs,25,52070
1182270,DXIsYBpoQ1Q,Food and Entertaining,Breakfast,11,102681
879947,dY0_Ie9MxuE,Cars & Other Vehicles,Cars,101,58356
1099289,dY4inDXOQg8,Home and Garden,Home Improvements and Repairs,30,3695
656306,dyECo2Zf3Us,Food and Entertaining,Care and Use of Cooking Equipment,134,19734
470178,dywIn3Zn8Tk,Food and Entertaining,Recipes,170,109758
1041457,Dz8QkJOeptg,Food and Entertaining,Recipes,56,103898
697246,DZx8PdjAcBU,Home and Garden,Housekeeping,33,64376
714281,D_I-1MaFXJk,Hobbies and Crafts,Games,168,103000
6593,e00gDUTLlqc,Hobbies and Crafts,Crafts,106,25138
701709,e1x8-5oeS6U,Home and Garden,Housekeeping,70,77551
752951,E1_4hN62se8,Home and Garden,Home Decorating,174,121003
91877,E2VRuFFqL9w,Home and Garden,Home Improvements and Repairs,1,17675
691189,e5HXxOCdcaY,Food and Entertaining,Recipes,102,51665
373716,e7gE4yPrjj8,Holidays and Traditions,Halloween,65,79252
99162,e7X4KzCnDfc,Pets and Animals,Dogs,2,25566
1008299,e82oYER6JUY,Arts and Entertainment,Books,56,25061
103012,e9DU3bmdNKk,Food and Entertaining,Recipes,129,41712
1086950,e9fyviUUc5c,Food and Entertaining,Recipes,97,22657
225797,Ebek1zLuJ1I,Cars & Other Vehicles,Cars,85,95103
714541,eCL7oVzEmWE,Home and Garden,Home Improvements and Repairs,96,94252
273788,ed6l8yURogg,Hobbies and Crafts,Crafts,49,40217
796737,eDiFqwckBGQ,Food and Entertaining,Recipes,39,34809
298331,edlHmNWAPso,Home and Garden,,97,27790
567159,EErIMmH5p50,Food and Entertaining,Recipes,92,17855
72316,eFEMVmagoyE,Food and Entertaining,Food Preparation,117,91848
193344,EFljYENVoFE,Food and Entertaining,Breakfast,19,68277
1215478,EGmERSpvhVU,Food and Entertaining,Recipes,54,91862
690442,egnAGD6zlhw,Home and Garden,Home Improvements and Repairs,122,104670
568393,Egvi1UWGcrA,Food and Entertaining,Recipes,9,98162
374018,eGXJENHVqOg,Hobbies and Crafts,Crafts,29,4088
426680,EGYdSR9riWI,Home and Garden,Tools,122,77459
531543,eGygYgbULv4,Pets and Animals,Dogs,127,55245
768048,Eh1UeZF12UY,Home and Garden,Housekeeping,19,42284
549406,ehCiBrfb5Z4,Home and Garden,Landscaping and Outdoor Building,117,92087
1062182,eHGfvPxlNUc,Hobbies and Crafts,Model Making,171,37462
590213,Ehhoax2g6MA,Home and Garden,Housekeeping,16,79006
565101,EhuZTB9U9hY,Food and Entertaining,Recipes,28,28077
777671,ej7oDygeb1I,Pets and Animals,Dogs,30,75512
855828,EJdbPftLQkA,Pets and Animals,Dogs,32,73261
663989,eJFE2yA0Z2g,Home and Garden,Housekeeping,161,73375
800984,ejfzq-GD3SQ,Food and Entertaining,Recipes,156,122789
11125,ejNa-sdqiug,Food and Entertaining,Recipes,83,106079
294010,EJXno8J1X80,Personal Care and Style,Fashion,123,74115
1237921,EKad-blKVeo,Hobbies and Crafts,Tricks and Pranks,21,69434
1067234,EKH3YI93dNc,Home and Garden,Gardening,4,83191
897683,EKME5VGZeOA,Home and Garden,Housekeeping,160,16237
665966,ELKu9PKfrB4,Food and Entertaining,Recipes,170,106106
1034412,elslaUV_Bco,Home and Garden,Housekeeping,73,64371
428404,eM0s28xfLsY,Home and Garden,Housekeeping,3,90249
308462,eMeb4A0RFi4,Hobbies and Crafts,Crafts,41,19026
762238,EN8pGeMZ1as,Hobbies and Crafts,Crafts,33,39479
292367,EOCNogm4amI,,,58,58345
1065338,EoKe7aimASM,Home and Garden,Gardening,63,65139
1046356,EooaGhYVoS0,Home and Garden,Housekeeping,28,17998
192769,eoUKqGADkCQ,Cars & Other Vehicles,Cars,44,95143
786271,eOUPRGrTH60,Food and Entertaining,Recipes,166,92743
426530,eOxZrCAPhok,Hobbies and Crafts,Crafts,1,30039
625498,EpiZviTuWTw,Hobbies and Crafts,Photography,70,38659
207489,epsTVF5HIGQ,Hobbies and Crafts,Crafts,104,64071
1029748,EPVrvt9hiJg,Food and Entertaining,Recipes,25,14152
409278,epyV1uK-WWg,Hobbies and Crafts,Crafts,129,95680
90372,eq6skSaV7kA,Hobbies and Crafts,Crafts,67,38151
1164131,eq8gS_xuzg4,Home and Garden,Gardening,97,47478
473775,EqBGw2TdNSk,Arts and Entertainment,Music,49,80941
249391,EQd6a8csQ14,Hobbies and Crafts,Crafts,154,46797
451960,eqreZhcMfYk,Food and Entertaining,Recipes,27,14130
923803,ERS3dcZTHmw,Food and Entertaining,Recipes,98,17839
526153,eSnSIGGXU1U,Home and Garden,Home Improvements and Repairs,17,45201
115031,EtGt8GGfjPQ,Hobbies and Crafts,Crafts,43,89755
252745,eTIu1c71TM4,Personal Care and Style,Grooming,54,72247
1029569,EUvmO7c96Gs,Food and Entertaining,Recipes,19,91905
663180,EVe_xVwt_8g,Food and Entertaining,Recipes,8,97590
173942,Evr0ktqETzs,Food and Entertaining,Recipes,150,41806
1226535,ew0ZFhiIoxU,Hobbies and Crafts,Crafts,95,38663
659333,eWfZNeckk4w,Food and Entertaining,Recipes,38,94286
553223,ewkpxyqGkxM,Food and Entertaining,Drinks,46,95768
803788,ExAYoblR3l4,Home and Garden,Gardening,174,73953
511226,eXhClwcMV_I,Pets and Animals,Dogs,39,52250
1044184,exkYkWdEC7U,Cars & Other Vehicles,Cars,24,85438
526325,Ey4xj1nSYnI,Home and Garden,Gardening,104,116113
846081,eZxCQ6Exz-0,Cars & Other Vehicles,Cars,169,58367
737177,Ezxj-FFf7Y8,Food and Entertaining,Recipes,10,3985
516529,F1hIOCaIA_o,Home and Garden,Gardening,14,95397
590573,F2Ntot-xR40,Home and Garden,Home Improvements and Repairs,98,121491
433278,F2xv4fba65U,Hobbies and Crafts,Crafts,168,75495
166840,F3xSEMq6xSU,Food and Entertaining,Holiday Cooking,50,110021
895407,F4g2FdoKicA,Cars & Other Vehicles,Cars,90,112076
1059403,f5kOZJfv5-8,Food and Entertaining,Parties,42,98162
1080328,f6NPts7OmN4,Home and Garden,Home Improvements and Repairs,148,72152
694148,FAHOrWiTrB4,Hobbies and Crafts,Toys,134,105883
309730,fajimPBUQKQ,Health,Emotional Health,159,263
262523,fBvURTgBqyM,Food and Entertaining,Food Preparation,50,84736
612127,fBwbfWeuOoY,Food and Entertaining,Food Preparation,85,68676
351786,FcPYrvaCCyM,Holidays and Traditions,Halloween,25,87424
694577,feavRliVGvQ,Food and Entertaining,Recipes,56,106581
1217547,feIAgG3KlB8,Food and Entertaining,Recipes,99,93449
527770,FEKkC9Mxa28,Pets and Animals,Horses,56,85918
98105,fEkOBm5tX7k,Hobbies and Crafts,Crafts,12,2221
156900,FEt0xI46oGE,Food and Entertaining,Drinks,7,117070
906320,FflNJNEshSk,Food and Entertaining,Recipes,161,63991
337437,FgLkeCD4jIM,Hobbies and Crafts,Crafts,5,57781
116475,fGXJK3mOVCM,Hobbies and Crafts,Crafts,9,46877
1195341,FH1JntOAmes,Sports and Fitness,Outdoor Recreation,102,13442
193940,Fh51krl0Gxc,Health,Health Hygiene,40,39225
777388,FhAFmnFFWeM,Food and Entertaining,Recipes,37,52635
637633,FHTpVq9i87c,Cars & Other Vehicles,Cars,66,105786
200650,fHWB69fM4TM,Food and Entertaining,Recipes,113,53456
653298,FIvjltHP4-E,Sports and Fitness,Outdoor Recreation,73,76956
306888,fj0afShMYXQ,Cars & Other Vehicles,Cars,80,41008
925486,fjMoNxFDtAs,Home and Garden,Housekeeping,77,101997
56982,fKFxl0tuxoA,Hobbies and Crafts,Crafts,88,85472
1072183,fkMO5xOgSds,Food and Entertaining,Holiday Cooking,26,16709
963441,flLbHA5SEX8,Home and Garden,Housekeeping,16,21769
964081,fLsDPQDxCMU,Food and Entertaining,Recipes,126,118426
124377,fMmMr7gvIvQ,Hobbies and Crafts,Tricks and Pranks,189,44120
205785,fQ2PAi9FRVk,Hobbies and Crafts,Crafts,3,119121
421745,FQbAVH98wHo,Cars & Other Vehicles,Cars,62,11143
752833,FqRfbSrMg1Y,Home and Garden,Housekeeping,3,114068
1116805,fRma4BeVaKA,Hobbies and Crafts,Crafts,58,86055
343567,Fs5eYIWtbYE,Hobbies and Crafts,Crafts,68,40203
339367,FSA6Ovq3ms8,Food and Entertaining,Recipes,41,94481
756358,fSe8_FxHfMs,Food and Entertaining,Recipes,15,3982
90494,fSq6lCG7HYE,Food and Entertaining,Food Preparation,96,41765
581322,fTLPIYy-RW4,Food and Entertaining,Holiday Cooking,95,114543
602748,FU8fD9yEiJQ,Food and Entertaining,Drinks,31,69348
412845,Fuw73ZzohRE,Holidays and Traditions,Hanukkah Chanukah,40,52844
921176,fVO903qoC6I,Education and Communications,Subjects,156,325
1091586,FW1zqdlO1h4,Food and Entertaining,Recipes,69,102515
1073932,FxE-5Cg3vVU,Home and Garden,Home Improvements and Repairs,24,120886
757896,FxUNQ4HveQQ,Home and Garden,Landscaping and Outdoor Building,150,10946
497653,FYGU999dvqI,Food and Entertaining,Recipes,52,51654
897533,FYYWdMPPu2M,Pets and Animals,Cats,124,112366
291263,fzDMzbGpORc,Home and Garden,Housekeeping,138,18271
429467,FzM3JYJp7fM,Hobbies and Crafts,Crafts,72,62331
661172,fZUa7ycEBQE,Home and Garden,Home Improvements and Repairs,103,73448
216352,g15xQecyKzQ,Hobbies and Crafts,Amateur Radio,197,51317
205606,g1j3XGny0JQ,Home and Garden,Gardening,77,43754
860549,G1JXb7BSnG0,Home and Garden,Gardening,34,65731
55781,g1Ppcwq45XQ,Personal Care and Style,Grooming,182,22822
1095366,g2qcNWhcpqM,Home and Garden,Landscaping and Outdoor Building,76,22731
89903,G2ZSpZYLqXQ,Hobbies and Crafts,Crafts,139,69730
95764,G40oVYRvRG4,Holidays and Traditions,Christmas,57,83412
1176295,g4As2DDoUVI,Food and Entertaining,Recipes,1,91242
302453,G68lc3G_y9U,Cars & Other Vehicles,Cars,198,74602
625612,g6d8h7OUUpk,Home and Garden,Gardening,21,90009
91405,G6E9aYEQVa8,Hobbies and Crafts,Crafts,19,118776
399199,G9-VHtJvPNs,Food and Entertaining,Drinks,192,16427
604586,g9bQ72e7ZMo,Pets and Animals,Horses,147,110868
1047635,gAC8duTTH8U,Food and Entertaining,,126,25810
832477,gADj2RIDOyI,Hobbies and Crafts,Crafts,30,9104
9423,GbfopTju_es,Hobbies and Crafts,Collecting,102,17306
828115,GbuJ3qnmBmQ,Arts and Entertainment,Music,150,80107
724751,gCCHvdTJrz8,Home and Garden,Home Improvements and Repairs,21,13289
598479,gcgC3V3mkcw,Home and Garden,Home Improvements and Repairs,73,60451
994959,gCGL2SNxmRM,Home and Garden,Housekeeping,14,28769
37777,GdLXqc51Xs8,Cars & Other Vehicles,Off Road Vehicles,40,13168
683441,gdQ6_P2tfFE,Hobbies and Crafts,Tricks and Pranks,38,118186
484982,gdQC-y01scE,Food and Entertaining,Drinks,34,22275
1209101,gEiu4_qt1-Q,Pets and Animals,Fish,77,109217
1106523,gevpzxRxec4,Food and Entertaining,Recipes,14,58322
65606,gey7w5qzltU,Hobbies and Crafts,Crafts,43,67998
348475,GfsZ2HrGzRo,Home and Garden,Housekeeping,15,13280
123232,ggMyikeuyf8,Hobbies and Crafts,Crafts,81,93644
457832,gHPm3BMv0Do,Food and Entertaining,Drinks,60,92747
553799,gH_DECkb3LI,Home and Garden,Home Improvements and Repairs,45,15746
477511,gJCZ2xPv1Aw,Home and Garden,Disaster Preparedness,30,49763
959331,GJeo9l0kYSY,Food and Entertaining,Recipes,68,37744
221986,gJOUv59Tkyc,Home and Garden,Landscaping and Outdoor Building,65,22357
588474,GjzI7aAjno8,Home and Garden,Home Improvements and Repairs,44,96428
479667,gk-GpDiPDms,Cars & Other Vehicles,Bicycles,43,29723
575248,gKWJnTAXIU4,Home and Garden,Moving House and Packing,146,66834
370884,GmC1wrk07H4,Health,Conditions and Treatments,112,116867
790340,GMQre0RHc48,Arts and Entertainment,Music,33,65428
896333,GMZn28SmOvc,Food and Entertaining,Recipes,97,48071
670550,gNh1BLZ5Zts,Food and Entertaining,Recipes,53,85802
876793,GOhsLLqUDNo,Food and Entertaining,Food Preparation,13,3922
531748,gOvaW9bfUuY,Home and Garden,Housekeeping,76,17918
915744,Gp9xQZjZJco,Hobbies and Crafts,Crafts,27,60435
545595,gpbLTlUuFps,Home and Garden,Home Improvements and Repairs,44,28438
72545,gpI7R7UbK9I,Food and Entertaining,Recipes,29,32243
515256,gpjxz3aIDJg,Hobbies and Crafts,Crafts,38,44368
780422,GPvpO6rCryg,Food and Entertaining,Drinks,67,117080
292332,GS3b0D5AKg8,Hobbies and Crafts,Crafts,70,10637
143159,gsyLTqm8uVQ,Hobbies and Crafts,Crafts,26,111337
